iter	MultiClass
0	1.331869308
1	1.282773039
2	1.240763657
3	1.207821293
4	1.180276082
5	1.156871056
6	1.134875651
7	1.113864917
8	1.093787036
9	1.076990092
10	1.060588278
11	1.049100602
12	1.036418564
13	1.024859629
14	1.012690343
15	1.002788785
16	0.9937789036
17	0.9878096743
18	0.9788623125
19	0.9715641651
20	0.9658352093
21	0.9607036333
22	0.9559917659
23	0.9509898091
24	0.945365469
25	0.942192465
26	0.9385685024
27	0.9348101074
28	0.9324812438
29	0.9288233265
30	0.9258685255
31	0.9231843028
32	0.9208661917
33	0.919136671
34	0.9169145359
35	0.9146176994
36	0.912594398
37	0.9101535361
38	0.9087125738
39	0.9071737742
40	0.9056384251
41	0.903985737
42	0.9021133434
43	0.9007569211
44	0.899951601
45	0.8982043513
46	0.8966559485
47	0.8948652505
48	0.894108983
49	0.8921469067
50	0.8910158083
51	0.890222085
52	0.8887149133
53	0.8873468108
54	0.8868515549
55	0.8861554266
56	0.8851782874
57	0.8842830342
58	0.8830463674
59	0.8818805424
60	0.8807334506
61	0.8799117978
62	0.8789259941
63	0.8779910882
64	0.8774841073
65	0.8764330915
66	0.8755151774
67	0.8750029047
68	0.8742309739
69	0.8727783367
70	0.8721730726
71	0.8707967443
72	0.8691925847
73	0.868707015
74	0.8672884923
75	0.8663522301
76	0.8650107621
77	0.8642475937
78	0.8633778929
79	0.8627947406
80	0.8617726461
81	0.8613795131
82	0.8606163967
83	0.8597571635
84	0.8591961478
85	0.8582297903
86	0.857420998
87	0.8567356207
88	0.8561823182
89	0.8555603085
90	0.8546039214
91	0.8535765781
92	0.8526686157
93	0.852023001
94	0.8513802237
95	0.8504320131
96	0.8499342948
97	0.8484803908
98	0.8475333747
99	0.8465400261
100	0.8459575678
101	0.8446970941
102	0.8432836453
103	0.84259407
104	0.8415961523
105	0.8404247241
106	0.8398397134
107	0.8395304797
108	0.8385579306
109	0.8381474804
110	0.8370936401
111	0.8362308231
112	0.8353573393
113	0.834634868
114	0.8340723917
115	0.8338217343
116	0.8329072713
117	0.8321811756
118	0.8316973845
119	0.8305411717
120	0.8303145945
121	0.8293256655
122	0.8288983619
123	0.8282325941
124	0.8270416283
125	0.8262671479
126	0.8255990933
127	0.8247977573
128	0.8241185638
129	0.8233830584
130	0.8226662516
131	0.8224122848
132	0.8217601241
133	0.8212930881
134	0.8203871151
135	0.8195163151
136	0.8188640526
137	0.817696731
138	0.816825859
139	0.8159624675
140	0.8150701686
141	0.8142039917
142	0.8133328104
143	0.8124424818
144	0.8115847652
145	0.8106656003
146	0.8100920991
147	0.8098841523
148	0.8093610963
149	0.808822803
150	0.8080377381
151	0.8075999753
152	0.8070226224
153	0.8065844032
154	0.8055366101
155	0.8049141628
156	0.8042390363
157	0.8032949659
158	0.8024095669
159	0.8017845231
160	0.8007175723
161	0.7998368603
162	0.7991709698
163	0.7986698795
164	0.7978742608
165	0.7975473522
166	0.796722758
167	0.7962709187
168	0.795565546
169	0.7946283079
170	0.7939314122
171	0.7933515994
172	0.7927952985
173	0.7922698596
174	0.7918539697
175	0.791279992
176	0.7907523137
177	0.7901898073
178	0.7895732275
179	0.7888092735
180	0.7886436905
181	0.7881083717
182	0.7872822219
183	0.7864789846
184	0.7859097114
185	0.7855302324
186	0.7849574396
187	0.7840509635
188	0.7835472348
189	0.7830661438
190	0.7821572863
191	0.7809798998
192	0.7800650305
193	0.7794968079
194	0.7788894273
195	0.7783982074
196	0.7776670461
197	0.7773108279
198	0.7768630722
199	0.7764822499
200	0.7759641451
201	0.7752581954
202	0.7746935183
203	0.773994817
204	0.7735139717
205	0.7730519121
206	0.7725108449
207	0.7719602749
208	0.7712879141
209	0.7706178696
210	0.7702505579
211	0.7691590412
212	0.7681062819
213	0.7675036251
214	0.7668901539
215	0.7662545316
216	0.7652620341
217	0.7649723753
218	0.764168616
219	0.7635501421
220	0.7627217211
221	0.7620656884
222	0.7614301238
223	0.7605270465
224	0.7601711102
225	0.7595161865
226	0.7587762109
227	0.7583352158
228	0.7578220402
229	0.7572676284
230	0.7565338569
231	0.7562580692
232	0.7556610203
233	0.7553716888
234	0.7545537084
235	0.75417266
236	0.7532647398
237	0.7528252529
238	0.7524092374
239	0.7520332813
240	0.7515030645
241	0.750586648
242	0.7502999497
243	0.7494765042
244	0.7486743456
245	0.7479712312
246	0.7472259548
247	0.7467260671
248	0.7463758114
249	0.7459732422
250	0.7457269505
251	0.7450542758
252	0.7445603402
253	0.7439885656
254	0.7434951739
255	0.7430131157
256	0.7426103272
257	0.7418599072
258	0.7415173978
259	0.7410103751
260	0.7404602194
261	0.7394611698
262	0.7386225712
263	0.7378142324
264	0.737173908
265	0.7366710202
266	0.7364530059
267	0.7361503759
268	0.7354863289
269	0.7350802008
270	0.7344730857
271	0.7337027857
272	0.7330534025
273	0.7322782766
274	0.7317838909
275	0.731314102
276	0.7309659317
277	0.730559067
278	0.7300746119
279	0.7296087303
280	0.7292271466
281	0.7285554985
282	0.7279838166
283	0.7274065623
284	0.7269622302
285	0.7266357957
286	0.7259527879
287	0.7251335301
288	0.7248595542
289	0.7242874523
290	0.7235192723
291	0.7228146039
292	0.7224887564
293	0.7221397436
294	0.7215854531
295	0.7213049463
296	0.7208832986
297	0.7202143108
298	0.719650135
299	0.7193961351
300	0.7189257294
301	0.7182537875
302	0.7176487736
303	0.717050893
304	0.7163473389
305	0.7157353623
306	0.7153401932
307	0.7145998169
308	0.7139739797
309	0.71335031
310	0.7130219078
311	0.7122658835
312	0.7116593833
313	0.7109887574
314	0.7104682981
315	0.709909867
316	0.709557669
317	0.7091261616
318	0.708471331
319	0.7081740222
320	0.7077485516
321	0.707380472
322	0.7067724205
323	0.7064524109
324	0.7061973279
325	0.70567437
326	0.7054493379
327	0.7048623563
328	0.704592777
329	0.7040568665
330	0.7038318601
331	0.7032853415
332	0.7027862953
333	0.7023452168
334	0.7018338746
335	0.7011480022
336	0.7006202746
337	0.7002883109
338	0.6999413536
339	0.6995566361
340	0.6990790324
341	0.6985297767
342	0.6981637094
343	0.6976459529
344	0.6969675756
345	0.6963164836
346	0.6958865163
347	0.6953463594
348	0.6946864827
349	0.6942946146
350	0.6938289481
351	0.6932533217
352	0.6927135918
353	0.6924677249
354	0.6919797128
355	0.6916343956
356	0.6911420075
357	0.6908026026
358	0.6904231512
359	0.6899159674
360	0.6895185789
361	0.6892011721
362	0.6888035196
363	0.6882727245
364	0.6879473351
365	0.6875308867
366	0.6872210909
367	0.6869210791
368	0.6864223397
369	0.6861840147
370	0.6857200981
371	0.6854730027
372	0.6851673007
373	0.6847452661
374	0.6842114741
375	0.6838757981
376	0.6833186988
377	0.6827716263
378	0.6823512689
379	0.6816644952
380	0.6809825777
381	0.6806632161
382	0.6803698753
383	0.6798715335
384	0.6795815351
385	0.6790906783
386	0.6787641316
387	0.6781642438
388	0.6776771661
389	0.6773265841
390	0.6769625568
391	0.6764234268
392	0.6760123519
393	0.6755899058
394	0.6750336168
395	0.6744861766
396	0.6741370128
397	0.6738255858
398	0.6731932278
399	0.6726488642
400	0.6722486542
401	0.6716276107
402	0.671075499
403	0.6706156382
404	0.6702326757
405	0.6699312722
406	0.6693919007
407	0.6690548978
408	0.6686252995
409	0.6679422108
410	0.6674707318
411	0.6666699785
412	0.6662541151
413	0.6659960535
414	0.6657103376
415	0.6650405401
416	0.6646611678
417	0.6640786266
418	0.6637228123
419	0.6633294934
420	0.6625258411
421	0.6621332807
422	0.6617903603
423	0.661531762
424	0.6610966039
425	0.6604660626
426	0.6599118333
427	0.6594214951
428	0.658869359
429	0.658389354
430	0.6579773222
431	0.6575587279
432	0.6573712221
433	0.6569496293
434	0.6568253056
435	0.6564434222
436	0.6560746793
437	0.6557062465
438	0.655366177
439	0.6550731894
440	0.654828965
441	0.6542655986
442	0.6539753561
443	0.6536959913
444	0.65344576
445	0.652861042
446	0.65221888
447	0.6517199193
448	0.6513829582
449	0.6510568942
450	0.6506656481
451	0.6502183564
452	0.6499619067
453	0.6496852072
454	0.6492139406
455	0.6487910623
456	0.6485057512
457	0.6480835513
458	0.6476498036
459	0.6473432417
460	0.6466389676
461	0.646383589
462	0.6460429896
463	0.6456897217
464	0.6454065659
465	0.6446790188
466	0.644211664
467	0.6437562843
468	0.6434111862
469	0.6429888473
470	0.6424573858
471	0.6420035497
472	0.6417328849
473	0.6414315452
474	0.6411934407
475	0.6408285691
476	0.6403448936
477	0.6397550066
478	0.6394862605
479	0.6391293419
480	0.6387868359
481	0.6384366361
482	0.6380403834
483	0.6375840207
484	0.6372536392
485	0.6367518073
486	0.6364510775
487	0.6361281044
488	0.6357559407
489	0.635364743
490	0.6349127268
491	0.6345296382
492	0.6341299415
493	0.6338117113
494	0.6336065712
495	0.6331519924
496	0.6328435761
497	0.6325809885
498	0.632193395
499	0.6318977702
500	0.6315889354
501	0.631310888
502	0.6308832233
503	0.6305917729
504	0.6302672054
505	0.6297217851
506	0.629227195
507	0.6289317379
508	0.6286821767
509	0.6284267743
510	0.6281499117
511	0.6276770432
512	0.6273981564
513	0.6269656794
514	0.6265078527
515	0.6260624637
516	0.6255825062
517	0.6253640356
518	0.6248371765
519	0.6244158202
520	0.6239563167
521	0.6236178425
522	0.6231659401
523	0.6225751335
524	0.6221629602
525	0.6217622768
526	0.6214971953
527	0.6211201554
528	0.6208414818
529	0.6205042499
530	0.6201640536
531	0.6198921629
532	0.6196078976
533	0.6192980359
534	0.6189788416
535	0.6184213759
536	0.6178836931
537	0.6174066969
538	0.6168341179
539	0.6164343696
540	0.6162952476
541	0.6159919382
542	0.6157880557
543	0.6155307561
544	0.6152525557
545	0.6149369071
546	0.6147481523
547	0.6146266169
548	0.6144777756
549	0.6142860011
550	0.6140945145
551	0.6138460031
552	0.6135040515
553	0.6131184126
554	0.6128018787
555	0.6123979647
556	0.6120032454
557	0.6117446341
558	0.6115604269
559	0.6113699068
560	0.6109983692
561	0.6108518369
562	0.6104865945
563	0.6102719966
564	0.6100785988
565	0.6099076049
566	0.6094009048
567	0.6092314853
568	0.6088598491
569	0.6083858947
570	0.607815424
571	0.6075075081
572	0.6071715542
573	0.6067432187
574	0.6063587045
575	0.6060757897
576	0.605729493
577	0.6055621458
578	0.6052730182
579	0.6048658345
