iter	Passed	Remaining
0	57	57496
1	60	30109
2	63	20984
3	65	16367
4	68	13656
5	71	11914
6	74	10581
7	77	9560
8	79	8783
9	82	8161
10	85	7681
11	88	7252
12	90	6905
13	93	6599
14	97	6402
15	101	6264
16	104	6048
17	107	5886
18	110	5717
19	113	5542
20	115	5385
21	118	5250
22	120	5113
23	122	4989
24	125	4875
25	127	4768
26	129	4668
27	131	4574
28	134	4491
29	136	4407
30	138	4330
31	140	4255
32	142	4186
33	145	4128
34	147	4070
35	150	4020
36	152	3974
37	155	3928
38	157	3888
39	160	3843
40	162	3799
41	164	3757
42	167	3725
43	169	3693
44	172	3665
45	175	3634
46	177	3601
47	180	3571
48	182	3545
49	185	3515
50	187	3484
51	189	3456
52	191	3427
53	193	3396
54	196	3369
55	198	3347
56	200	3320
57	202	3293
58	204	3269
59	207	3246
60	209	3224
61	211	3202
62	214	3183
63	216	3161
64	218	3143
65	220	3127
66	223	3109
67	225	3089
68	227	3070
69	229	3054
70	232	3036
71	234	3017
72	236	3001
73	238	2985
74	240	2969
75	242	2952
76	245	2937
77	247	2923
78	249	2908
79	251	2894
80	253	2878
81	255	2865
82	258	2850
83	260	2837
84	262	2828
85	264	2815
86	267	2802
87	269	2789
88	271	2777
89	273	2764
90	275	2753
91	277	2742
92	280	2734
93	283	2727
94	285	2718
95	287	2709
96	289	2699
97	292	2689
98	294	2684
99	297	2678
100	299	2668
101	301	2657
102	304	2647
103	306	2640
104	309	2634
105	312	2631
106	314	2627
107	317	2621
108	320	2618
109	322	2612
110	325	2609
111	328	2605
112	331	2599
113	334	2595
114	336	2592
115	339	2589
116	342	2584
117	345	2580
118	347	2575
119	350	2572
120	353	2568
121	356	2565
122	359	2565
123	362	2562
124	365	2558
125	368	2554
126	370	2550
127	373	2546
128	376	2545
129	380	2543
130	382	2540
131	385	2534
132	387	2528
133	390	2524
134	393	2522
135	396	2518
136	399	2514
137	401	2508
138	404	2503
139	406	2498
140	409	2495
141	412	2490
142	414	2486
143	417	2482
144	420	2478
145	422	2473
146	426	2472
147	428	2467
148	430	2461
149	433	2456
150	435	2450
151	438	2445
152	440	2439
153	442	2432
154	445	2426
155	447	2419
156	449	2413
157	451	2407
158	453	2401
159	456	2397
160	458	2391
161	461	2385
162	463	2379
163	465	2372
164	467	2366
165	469	2360
166	472	2355
167	474	2351
168	477	2347
169	479	2341
170	481	2335
171	483	2329
172	486	2323
173	488	2319
174	490	2314
175	493	2309
176	495	2303
177	497	2298
178	499	2292
179	501	2286
180	504	2282
181	506	2277
182	508	2271
183	511	2266
184	513	2261
185	515	2255
186	517	2250
187	519	2245
188	522	2240
189	524	2234
190	526	2230
191	528	2224
192	530	2219
193	533	2214
194	535	2209
195	537	2205
196	539	2200
197	541	2194
198	543	2189
199	546	2184
200	548	2179
201	550	2175
202	553	2171
203	555	2166
204	557	2161
205	559	2156
206	561	2152
207	564	2147
208	566	2142
209	568	2138
210	571	2135
211	573	2131
212	575	2127
213	578	2123
214	580	2119
215	582	2115
216	585	2111
217	587	2108
218	589	2103
219	592	2099
220	594	2095
221	597	2092
222	600	2090
223	603	2089
224	605	2087
225	608	2083
226	610	2080
227	613	2076
228	615	2073
229	618	2070
230	620	2067
231	623	2064
232	626	2061
233	628	2057
234	630	2053
235	633	2049
236	635	2046
237	637	2042
238	640	2038
239	642	2033
240	644	2029
241	646	2025
242	648	2020
243	651	2017
244	653	2014
245	656	2011
246	658	2007
247	660	2003
248	662	1999
249	665	1995
250	667	1992
251	670	1990
252	672	1986
253	675	1982
254	677	1979
255	679	1975
256	682	1973
257	684	1969
258	686	1965
259	689	1961
260	691	1957
261	693	1954
262	696	1950
263	698	1947
264	700	1943
265	702	1939
266	705	1935
267	707	1932
268	709	1928
269	711	1924
270	714	1921
271	716	1918
272	718	1914
273	721	1910
274	723	1907
275	725	1903
276	727	1899
277	730	1897
278	732	1894
279	735	1890
280	737	1886
281	739	1883
282	741	1879
283	743	1875
284	746	1872
285	748	1868
286	750	1865
287	753	1861
288	755	1858
289	757	1854
290	759	1851
291	762	1847
292	764	1844
293	767	1842
294	769	1839
295	771	1835
296	774	1832
297	776	1828
298	778	1825
299	781	1822
300	783	1819
301	785	1815
302	788	1812
303	790	1809
304	792	1805
305	794	1802
306	797	1800
307	799	1796
308	801	1793
309	804	1789
310	806	1786
311	808	1782
312	811	1780
313	813	1777
314	815	1773
315	817	1770
316	820	1766
317	822	1763
318	824	1759
319	826	1756
320	829	1753
321	831	1750
322	833	1746
323	835	1743
324	837	1740
325	839	1736
326	842	1733
327	844	1731
328	847	1727
329	849	1724
330	851	1721
331	853	1718
332	856	1714
333	858	1711
334	860	1708
335	863	1705
336	865	1703
337	867	1699
338	870	1696
339	872	1693
340	874	1690
341	877	1687
342	879	1684
343	881	1681
344	883	1677
345	885	1674
346	888	1671
347	890	1668
348	892	1665
349	894	1661
350	897	1658
351	899	1655
352	901	1652
353	903	1649
354	905	1646
355	908	1643
356	910	1640
357	912	1636
358	914	1633
359	917	1630
360	919	1627
361	921	1624
362	924	1621
363	926	1618
364	929	1616
365	931	1613
366	933	1610
367	935	1606
368	937	1603
369	940	1600
370	942	1598
371	945	1596
372	948	1595
373	951	1592
374	953	1589
375	956	1586
376	959	1584
377	962	1583
378	965	1581
379	967	1579
380	970	1576
381	973	1574
382	976	1572
383	979	1570
384	982	1569
385	984	1566
386	987	1563
387	990	1561
388	993	1560
389	996	1558
390	998	1555
391	1001	1552
392	1003	1550
393	1006	1548
394	1009	1546
395	1012	1544
396	1015	1542
397	1018	1540
398	1020	1537
399	1023	1535
400	1026	1533
401	1029	1531
402	1032	1529
403	1035	1527
404	1038	1525
405	1041	1523
406	1043	1521
407	1047	1519
408	1049	1516
409	1052	1514
410	1055	1512
411	1058	1510
412	1061	1509
413	1064	1506
414	1067	1504
415	1070	1503
416	1074	1502
417	1078	1501
418	1081	1499
419	1084	1496
420	1087	1495
421	1090	1493
422	1093	1491
423	1095	1488
424	1098	1486
425	1101	1483
426	1104	1482
427	1108	1481
428	1112	1480
429	1116	1479
430	1119	1477
431	1178	1549
432	1182	1548
433	1196	1560
434	1201	1560
435	1205	1559
436	1209	1557
437	1212	1555
438	1216	1553
439	1219	1552
440	1222	1549
441	1224	1546
442	1228	1544
443	1230	1541
444	1233	1537
445	1236	1535
446	1238	1532
447	1241	1529
448	1243	1526
449	1245	1522
450	1248	1519
451	1251	1516
452	1253	1513
453	1255	1510
454	1258	1506
455	1260	1503
456	1262	1500
457	1265	1497
458	1267	1494
459	1270	1491
460	1272	1488
461	1275	1485
462	1277	1481
463	1279	1478
464	1282	1475
465	1284	1472
466	1287	1469
467	1290	1466
468	1292	1463
469	1294	1459
470	1296	1456
471	1299	1453
472	1301	1450
473	1304	1447
474	1306	1444
475	1309	1441
476	1311	1438
477	1314	1435
478	1317	1432
479	1319	1429
480	1322	1426
481	1324	1423
482	1326	1420
483	1329	1417
484	1332	1414
485	1335	1411
486	1337	1409
487	1340	1406
488	1342	1403
489	1345	1400
490	1348	1397
491	1350	1394
492	1353	1391
493	1355	1388
494	1358	1385
495	1360	1382
496	1362	1379
497	1365	1376
498	1367	1372
499	1369	1369
500	1371	1366
501	1374	1363
502	1376	1359
503	1378	1356
504	1381	1353
505	1384	1351
506	1386	1348
507	1389	1345
508	1391	1342
509	1393	1339
510	1396	1336
511	1398	1333
512	1401	1330
513	1403	1326
514	1405	1323
515	1407	1320
516	1410	1317
517	1412	1314
518	1415	1311
519	1418	1309
520	1420	1306
521	1422	1302
522	1425	1299
523	1427	1296
524	1430	1293
525	1432	1290
526	1434	1287
527	1436	1284
528	1438	1281
529	1441	1278
530	1443	1275
531	1446	1272
532	1448	1269
533	1450	1266
534	1453	1263
535	1455	1260
536	1457	1256
537	1460	1254
538	1463	1251
539	1465	1248
540	1467	1245
541	1469	1242
542	1472	1238
543	1474	1236
544	1477	1233
545	1479	1230
546	1482	1227
547	1485	1224
548	1487	1221
549	1489	1218
550	1491	1215
551	1494	1212
552	1496	1209
553	1498	1206
554	1500	1203
555	1502	1200
556	1505	1197
557	1507	1194
558	1510	1191
559	1512	1188
560	1514	1185
561	1516	1182
562	1518	1179
563	1521	1176
564	1523	1173
565	1526	1170
566	1528	1167
567	1530	1164
568	1532	1161
569	1534	1157
570	1537	1154
571	1539	1151
572	1542	1149
573	1544	1146
574	1546	1143
575	1548	1140
576	1550	1136
577	1553	1133
578	1555	1130
579	1557	1128
580	1560	1125
581	1562	1122
582	1564	1119
583	1566	1115
584	1568	1113
585	1571	1109
586	1573	1107
587	1576	1104
588	1578	1101
589	1581	1098
590	1583	1095
591	1585	1092
592	1588	1089
593	1590	1087
594	1593	1084
595	1595	1081
596	1597	1078
597	1599	1075
598	1601	1072
599	1603	1069
600	1606	1066
601	1608	1063
602	1610	1060
603	1613	1057
604	1615	1054
605	1617	1051
606	1619	1048
607	1622	1046
608	1624	1043
609	1627	1040
610	1629	1037
611	1631	1034
612	1633	1031
613	1636	1028
614	1638	1025
615	1640	1022
616	1643	1019
617	1645	1016
618	1647	1013
619	1649	1011
620	1651	1008
621	1654	1005
622	1656	1002
623	1659	999
624	1661	996
625	1663	993
626	1666	991
627	1668	988
628	1671	985
629	1673	982
630	1675	979
631	1677	976
632	1679	974
633	1682	971
634	1684	968
635	1687	965
636	1689	962
637	1692	960
638	1694	957
639	1696	954
640	1698	951
641	1701	948
642	1703	945
643	1706	943
644	1708	940
645	1710	937
646	1713	934
647	1715	931
648	1717	929
649	1720	926
650	1722	923
651	1725	920
652	1727	918
653	1729	915
654	1732	912
655	1735	909
656	1737	907
657	1739	904
658	1742	901
659	1744	898
660	1746	895
661	1748	892
662	1751	890
663	1753	887
664	1755	884
665	1758	881
666	1760	878
667	1762	876
668	1764	873
669	1767	870
670	1769	867
671	1772	864
672	1774	862
673	1776	859
674	1778	856
675	1780	853
676	1783	850
677	1786	848
678	1788	845
679	1791	842
680	1793	840
681	1795	837
682	1798	834
683	1800	831
684	1803	829
685	1805	826
686	1807	823
687	1809	820
688	1811	817
689	1814	815
690	1816	812
691	1819	809
692	1821	806
693	1823	803
694	1825	801
695	1827	798
696	1830	795
697	1832	793
698	1835	790
699	1837	787
700	1839	784
701	1841	781
702	1843	779
703	1846	776
704	1848	773
705	1851	770
706	1853	768
707	1855	765
708	1857	762
709	1860	759
710	1862	757
711	1865	754
712	1867	751
713	1869	748
714	1871	746
715	1874	743
716	1876	740
717	1878	737
718	1881	735
719	1883	732
720	1886	730
721	1888	727
722	1891	724
723	1893	721
724	1896	719
725	1899	716
726	1901	714
727	1904	711
728	1906	708
729	1908	705
730	1911	703
731	1913	700
732	1916	697
733	1918	695
734	1920	692
735	1922	689
736	1925	686
737	1927	684
738	1929	681
739	1932	678
740	1934	676
741	1936	673
742	1938	670
743	1941	667
744	1943	665
745	1945	662
746	1948	659
747	1950	657
748	1952	654
749	1954	651
750	1956	648
751	1959	646
752	1962	643
753	1964	640
754	1966	638
755	1968	635
756	1971	632
757	1973	630
758	1975	627
759	1978	624
760	1981	622
761	1983	619
762	1985	616
763	1988	614
764	1990	611
765	1992	608
766	1995	606
767	1997	603
768	1999	600
769	2002	598
770	2004	595
771	2006	592
772	2009	589
773	2011	587
774	2013	584
775	2015	581
776	2017	579
777	2020	576
778	2022	573
779	2024	571
780	2027	568
781	2029	565
782	2031	562
783	2033	560
784	2035	557
785	2038	554
786	2040	552
787	2043	549
788	2045	546
789	2047	544
790	2049	541
791	2051	538
792	2054	536
793	2056	533
794	2059	530
795	2061	528
796	2063	525
797	2065	522
798	2067	520
799	2070	517
800	2072	514
801	2075	512
802	2077	509
803	2080	507
804	2082	504
805	2084	501
806	2086	499
807	2088	496
808	2091	493
809	2093	491
810	2095	488
811	2098	485
812	2100	483
813	2102	480
814	2105	477
815	2107	475
816	2110	472
817	2112	470
818	2114	467
819	2117	464
820	2119	462
821	2122	459
822	2124	456
823	2126	454
824	2128	451
825	2131	448
826	2133	446
827	2135	443
828	2138	441
829	2140	438
830	2142	435
831	2144	433
832	2147	430
833	2149	427
834	2151	425
835	2154	422
836	2156	419
837	2158	417
838	2160	414
839	2163	412
840	2165	409
841	2167	406
842	2170	404
843	2173	401
844	2175	399
845	2178	396
846	2180	393
847	2183	391
848	2185	388
849	2187	386
850	2190	383
851	2192	380
852	2194	378
853	2197	375
854	2199	372
855	2201	370
856	2204	367
857	2206	365
858	2209	362
859	2211	359
860	2213	357
861	2215	354
862	2217	352
863	2220	349
864	2222	346
865	2225	344
866	2227	341
867	2229	339
868	2231	336
869	2234	333
870	2236	331
871	2239	328
872	2241	326
873	2243	323
874	2245	320
875	2248	318
876	2250	315
877	2252	313
878	2255	310
879	2257	307
880	2259	305
881	2261	302
882	2264	299
883	2266	297
884	2269	294
885	2271	292
886	2273	289
887	2276	287
888	2278	284
889	2280	281
890	2283	279
891	2285	276
892	2287	274
893	2290	271
894	2292	268
895	2294	266
896	2296	263
897	2299	261
898	2301	258
899	2303	255
900	2305	253
901	2308	250
902	2310	248
903	2312	245
904	2314	243
905	2317	240
906	2319	237
907	2322	235
908	2324	232
909	2326	230
910	2328	227
911	2330	224
912	2333	222
913	2335	219
914	2338	217
915	2340	214
916	2342	212
917	2344	209
918	2346	206
919	2349	204
920	2351	201
921	2353	199
922	2356	196
923	2358	193
924	2360	191
925	2362	188
926	2365	186
927	2367	183
928	2370	181
929	2372	178
930	2374	176
931	2377	173
932	2379	170
933	2382	168
934	2384	165
935	2386	163
936	2389	160
937	2391	158
938	2393	155
939	2395	152
940	2398	150
941	2400	147
942	2402	145
943	2405	142
944	2407	140
945	2409	137
946	2412	134
947	2414	132
948	2416	129
949	2419	127
950	2421	124
951	2423	122
952	2425	119
953	2428	117
954	2430	114
955	2432	111
956	2435	109
957	2437	106
958	2439	104
959	2441	101
960	2443	99
961	2446	96
