iter	Passed	Remaining
0	10	9993
1	13	6769
2	16	5633
3	20	5227
4	23	4769
5	26	4442
6	30	4361
7	35	4387
8	38	4229
9	41	4131
10	44	4026
11	48	4019
12	53	4027
13	56	3976
14	60	3972
15	63	3917
16	68	3966
17	71	3912
18	74	3844
19	77	3792
20	81	3790
21	86	3832
22	88	3757
23	91	3720
24	94	3698
25	98	3694
26	102	3678
27	105	3653
28	109	3680
29	114	3704
30	118	3717
31	122	3705
32	127	3725
33	129	3693
34	134	3707
35	137	3692
36	139	3633
37	142	3613
38	145	3596
39	149	3592
40	152	3565
41	155	3546
42	158	3522
43	161	3502
44	164	3496
45	167	3476
46	170	3449
47	172	3427
48	175	3408
49	178	3385
50	181	3375
51	183	3349
52	186	3323
53	188	3298
54	190	3275
55	193	3253
56	195	3236
57	198	3230
58	201	3212
59	203	3192
60	206	3177
61	208	3157
62	211	3141
63	214	3133
64	216	3116
65	218	3098
66	221	3079
67	223	3061
68	225	3044
69	228	3033
70	230	3021
71	233	3008
72	236	2997
73	238	2984
74	241	2972
75	244	2969
76	247	2963
77	249	2951
78	252	2938
79	254	2925
80	256	2914
81	259	2902
82	262	2898
83	264	2885
84	267	2876
85	269	2864
86	271	2854
87	274	2839
88	276	2832
89	279	2825
90	281	2815
91	284	2805
92	286	2793
93	288	2781
94	290	2770
95	293	2766
96	296	2756
97	298	2744
98	300	2734
99	302	2726
100	305	2716
101	307	2708
102	310	2705
103	313	2697
104	315	2688
105	317	2678
106	319	2669
107	321	2655
108	323	2648
109	327	2646
110	329	2637
111	331	2629
112	333	2620
113	336	2611
114	338	2602
115	340	2595
116	344	2597
117	346	2588
118	348	2580
119	350	2572
120	353	2567
121	356	2563
122	359	2562
123	361	2554
124	363	2547
125	366	2541
126	368	2533
127	370	2526
128	373	2518
129	376	2517
130	378	2510
131	380	2504
132	383	2498
133	385	2492
134	387	2484
135	390	2482
136	393	2477
137	395	2471
138	398	2466
139	400	2460
140	402	2454
141	405	2451
142	408	2448
143	410	2442
144	413	2436
145	415	2429
146	417	2423
147	420	2417
148	422	2414
149	425	2409
150	427	2402
151	429	2396
152	431	2390
153	433	2383
154	436	2377
155	438	2374
156	441	2369
157	443	2363
158	445	2357
159	447	2351
160	450	2346
161	452	2340
162	454	2334
163	457	2331
164	459	2326
165	461	2321
166	464	2315
167	466	2309
168	468	2304
169	471	2302
170	473	2297
171	476	2291
172	478	2286
173	480	2281
174	482	2275
175	484	2269
176	487	2265
177	489	2262
178	491	2256
179	494	2251
180	496	2246
181	498	2241
182	500	2236
183	503	2233
184	505	2229
185	508	2224
186	510	2219
187	512	2214
188	515	2210
189	517	2205
190	519	2201
191	522	2198
192	524	2193
193	526	2188
194	529	2184
195	531	2179
196	533	2175
197	536	2171
198	538	2168
199	540	2163
200	543	2158
201	545	2154
202	547	2150
203	549	2145
204	552	2143
205	555	2139
206	557	2135
207	559	2130
208	561	2126
209	564	2121
210	566	2117
211	569	2115
212	571	2110
213	573	2106
214	575	2102
215	577	2097
216	580	2093
217	582	2089
218	585	2086
219	587	2083
220	589	2079
221	592	2074
222	594	2070
223	596	2066
224	598	2062
225	601	2060
226	604	2057
227	606	2054
228	609	2050
229	611	2047
230	614	2044
231	617	2042
232	619	2039
233	621	2035
234	624	2031
235	626	2027
236	628	2023
237	630	2019
238	634	2019
239	636	2015
240	638	2011
241	641	2007
242	643	2004
243	645	1999
244	647	1996
245	650	1994
246	653	1990
247	655	1987
248	657	1983
249	659	1979
250	662	1975
251	664	1972
252	667	1969
253	669	1966
254	671	1962
255	673	1958
256	676	1955
257	678	1951
258	680	1947
259	683	1945
260	685	1941
261	687	1937
262	690	1933
263	692	1930
264	694	1926
265	696	1922
266	699	1920
267	701	1916
268	703	1913
269	706	1909
270	708	1905
271	710	1901
272	712	1898
273	715	1896
274	717	1892
275	720	1889
276	722	1885
277	724	1882
278	726	1878
279	729	1875
280	732	1873
281	734	1870
282	736	1866
283	738	1862
284	741	1859
285	743	1855
286	745	1853
287	748	1850
288	750	1847
289	753	1844
290	755	1841
291	758	1838
292	761	1836
293	764	1834
294	767	1834
295	770	1832
296	773	1831
297	776	1829
298	780	1830
299	783	1828
300	786	1826
301	789	1824
302	792	1822
303	795	1822
304	798	1820
305	801	1818
306	804	1816
307	807	1815
308	812	1816
309	815	1814
310	818	1812
311	820	1810
312	823	1807
313	826	1806
314	829	1804
315	832	1801
316	834	1798
317	837	1795
318	839	1792
319	842	1790
320	845	1788
321	848	1786
322	851	1784
323	854	1782
324	857	1780
325	860	1778
326	862	1776
327	865	1772
328	867	1769
329	870	1767
330	872	1764
331	875	1761
332	878	1760
333	881	1757
334	884	1755
335	886	1752
336	889	1749
337	892	1748
338	895	1745
339	897	1742
340	900	1740
341	902	1736
342	905	1733
343	908	1732
344	910	1729
345	913	1726
346	916	1724
347	918	1720
348	920	1717
349	923	1714
350	926	1712
351	928	1709
352	931	1706
353	933	1703
354	936	1700
355	938	1698
356	941	1696
357	944	1693
358	946	1690
359	949	1687
360	951	1684
361	953	1681
362	956	1678
363	958	1675
364	961	1672
365	963	1668
366	965	1665
367	967	1662
368	970	1658
369	973	1656
370	975	1654
371	978	1651
372	980	1648
373	983	1645
374	985	1642
375	989	1641
376	991	1638
377	994	1635
378	996	1632
379	998	1629
380	1001	1626
381	1003	1623
382	1006	1621
383	1008	1617
384	1010	1614
385	1013	1611
386	1015	1608
387	1017	1605
388	1020	1602
389	1023	1600
390	1025	1597
391	1028	1594
392	1030	1591
393	1032	1588
394	1035	1585
395	1038	1583
396	1040	1580
397	1042	1577
398	1044	1573
399	1047	1570
400	1049	1567
401	1051	1564
402	1054	1562
403	1057	1559
404	1059	1556
405	1061	1553
406	1063	1549
407	1065	1546
408	1068	1543
409	1070	1540
410	1073	1537
411	1075	1534
412	1077	1531
413	1080	1528
414	1082	1526
415	1086	1525
416	1089	1522
417	1092	1520
418	1095	1518
419	1097	1516
420	1100	1513
421	1105	1514
422	1108	1512
423	1112	1511
424	1115	1509
425	1118	1507
426	1122	1505
427	1124	1503
428	1127	1500
429	1131	1499
430	1137	1501
431	1141	1501
432	1145	1499
433	1148	1498
434	1152	1497
435	1155	1494
436	1158	1492
437	1160	1489
438	1163	1486
439	1166	1484
440	1169	1482
441	1171	1479
442	1174	1476
443	1176	1473
444	1178	1469
445	1181	1467
446	1183	1464
447	1186	1461
448	1188	1458
449	1191	1455
450	1193	1452
451	1195	1449
452	1197	1446
453	1200	1444
454	1203	1441
455	1205	1438
456	1208	1435
457	1210	1432
458	1212	1429
459	1215	1426
460	1218	1424
461	1220	1421
462	1223	1419
463	1225	1416
464	1228	1412
465	1230	1409
466	1233	1408
467	1235	1404
468	1238	1401
469	1240	1399
470	1243	1396
471	1245	1393
472	1247	1390
473	1250	1387
474	1252	1384
475	1255	1381
476	1257	1378
477	1259	1375
478	1261	1372
479	1264	1369
480	1267	1367
481	1269	1364
482	1271	1361
483	1274	1358
484	1276	1355
485	1278	1352
486	1281	1349
487	1283	1346
488	1286	1343
489	1288	1340
490	1290	1337
491	1292	1334
492	1294	1331
493	1297	1329
494	1300	1326
495	1302	1323
496	1304	1320
497	1306	1317
498	1309	1314
499	1311	1311
500	1314	1309
501	1316	1306
502	1319	1303
503	1321	1300
504	1323	1297
505	1326	1294
506	1328	1291
507	1331	1289
508	1333	1286
509	1336	1283
510	1338	1280
511	1340	1277
512	1342	1274
513	1345	1271
514	1347	1269
515	1350	1266
516	1352	1263
517	1354	1260
518	1356	1257
519	1359	1254
520	1361	1251
521	1364	1249
522	1367	1247
523	1369	1244
524	1372	1241
525	1374	1238
526	1376	1235
527	1380	1233
528	1382	1230
529	1384	1227
530	1387	1225
531	1389	1222
532	1391	1219
533	1394	1216
534	1396	1213
535	1398	1210
536	1401	1208
537	1403	1205
538	1405	1202
539	1407	1199
540	1410	1196
541	1413	1194
542	1415	1191
543	1417	1188
544	1419	1185
545	1422	1182
546	1424	1179
547	1427	1177
548	1429	1174
549	1431	1171
550	1434	1168
551	1436	1165
552	1438	1162
553	1441	1160
554	1443	1157
555	1446	1155
556	1448	1152
557	1451	1149
558	1453	1146
559	1455	1143
560	1457	1140
561	1461	1138
562	1463	1136
563	1466	1133
564	1468	1130
565	1470	1127
566	1473	1124
